% Module: Plotter, ID: c0p1t10p1cfm0
% Devices: DEV4934
% Time: 2023/12/11 18:09:44
% Demod 1 Sample Frequency,  /dev4934/demods/0/sample.Frequency
% Time (s), Osc Frequency (Hz)
% Demod 1 Sample Y,  /dev4934/demods/0/sample.Y
% Time (s), Amplitude (V)
-2569.0112, 1.03614946301e-05
-2567.78786133, -1.18767936475e-06
-2566.56452267, 1.29977788617e-06
-2565.341184, 2.66613707221e-06
-2564.11784533, -8.96304981469e-06
-2562.89450667, -1.93035500857e-05
-2561.671168, -1.80807599848e-05
-2560.44782933, 1.09567641481e-05
-2559.22449067, -2.5075375787e-06
-2558.001152, -4.51009030507e-06
-2556.77781333, 3.29630875941e-07
-2555.55447467, -1.1619198717e-06
-2554.331136, -1.02492418991e-05
-2553.10779733, -8.45929568451e-06
-2551.88445867, -3.34995950041e-06
-2550.66112, -1.06742611267e-05
-2549.43778133, 2.87509100388e-06
-2548.21444267, 1.43235023559e-05
-2546.991104, 2.36233221803e-05
-2545.76776533, 1.56224790614e-05
-2544.54442667, -6.28856061179e-06
-2543.321088, -1.09621278042e-05
-2542.09774933, -3.92646803894e-06
-2540.87441067, 4.48409920229e-06
-2539.651072, -4.39436342807e-06
-2538.42773333, -2.83982014978e-06
-2537.20439467, 3.86306960042e-06
-2535.981056, -8.79756347658e-06
-2534.75771733, -1.29072915375e-05
-2533.53437867, -3.82558663701e-06
-2532.31104, 1.38051816276e-05
-2531.08770133, 1.77226730168e-05
-2529.86436267, 2.81040033664e-05
-2528.641024, 1.58237691924e-05
-2527.41768533, -2.55426484295e-06
-2526.19434667, 1.24251710565e-06
-2524.971008, -1.65101925034e-05
-2523.74766933, 2.6050813189e-06
-2522.52433067, 9.84198867451e-06
-2521.300992, -7.94602605739e-06
-2520.07765333, -1.17732132831e-05
-2518.85431467, -9.85769973189e-06
-2517.630976, -7.7459896914e-06
-2516.40763733, -5.99320620427e-06
-2515.18429867, -1.03606130951e-05
-2513.96096, -2.12143233183e-06
-2512.73762133, -8.50703387799e-06
-2511.51428267, -2.81474366912e-06
-2510.290944, 8.36560186533e-06
-2509.06760533, 9.0834602896e-06
-2507.84426667, 3.38728648176e-06
-2506.620928, 5.86829765558e-06
-2505.39758933, 6.99493662889e-06
-2504.17425067, 1.30252789728e-05
-2502.950912, 1.93032357582e-05
-2501.72757333, 3.63301944867e-05
-2500.50423467, 4.43777979569e-05
-2499.280896, 3.27091795125e-05
-2498.05755733, 1.12057517045e-06
-2496.83421867, -2.20672072645e-05
-2495.61088, -3.46314747386e-05
-2494.38754133, -3.38355821493e-05
-2493.16420267, -1.33075746089e-05
-2491.940864, 5.74469959259e-06
-2490.71752533, 1.15492903906e-07
-2489.49418667, -6.79127840657e-06
-2488.270848, 3.65652807322e-06
-2487.04750933, -4.86292233182e-06
-2485.82417067, 1.15715958262e-05
-2484.600832, 1.61502762911e-05
-2483.37749333, 1.59828744459e-05
-2482.15415467, 1.51424129352e-05
-2480.930816, 4.51973283286e-06
-2479.70747733, -2.07800018874e-07
-2478.48413867, -1.44820486737e-06
-2477.2608, -8.46461857255e-06
-2476.03746133, -6.17755573736e-06
-2474.81412267, -4.74770830494e-06
-2473.590784, -1.74339874335e-05
-2472.36744533, -2.11393319853e-05
-2471.14410667, -7.19808200108e-06
-2469.920768, 8.62335573205e-06
-2468.69742933, 2.47664367594e-06
-2467.47409067, -6.99305834483e-06
-2466.250752, -5.34386113047e-06
-2465.02741333, 7.23402759578e-06
-2463.80407467, 5.05699415626e-06
-2462.580736, 9.30744876551e-06
-2461.35739733, 1.37951402821e-05
-2460.13405867, 1.95535326186e-05
-2458.91072, 1.76102773023e-05
-2457.68738133, 7.33596542171e-06
-2456.46404267, 5.03062491514e-06
-2455.240704, -5.36202831457e-06
-2454.01736533, -1.03002515802e-05
-2452.79402667, -6.58114870099e-06
-2451.570688, -5.88093220302e-06
-2450.34734933, -1.26410762345e-05
-2449.12401067, -7.62175883753e-06
-2447.900672, -4.5170320979e-06
-2446.67733333, 1.05912284455e-05
-2445.45399467, 1.22346241905e-05
-2444.230656, 2.73860374091e-06
-2443.00731733, -6.75893635212e-06
-2441.78397867, -1.71522814568e-05
-2440.56064, -1.03481097144e-05
-2439.33730133, -3.49056492629e-06
-2438.11396267, 6.94215678776e-06
-2436.890624, 1.26996977222e-05
-2435.66728533, 2.65913146853e-06
-2434.44394667, 6.5467564277e-07
-2433.220608, 1.93816403806e-06
-2431.99726933, 9.32562067633e-06
-2430.77393067, 1.10920153714e-05
-2429.550592, 9.78909952776e-06
-2428.32725333, 1.06340461138e-05
-2427.10391467, -1.35243808197e-05
-2425.880576, -4.90076925339e-06
-2424.65723733, -2.90534325313e-07
-2423.43389867, -3.06864347893e-06
-2420.98722133, -4.58685357071e-06
-2419.76388267, -1.38913782633e-05
-2418.540544, -2.04046103634e-05
-2417.31720533, -1.33434097163e-05
-2416.09386667, -1.39369427521e-05
-2414.870528, 2.04844217786e-06
-2413.64718933, 3.62105444244e-05
-2412.42385067, 2.77423158123e-05
-2411.200512, 4.90504221668e-06
-2409.97717333, -2.22965966195e-06
-2408.75383467, 9.87077209263e-06
-2407.530496, 1.45444722243e-05
-2406.30715733, 1.20829848059e-05
-2405.08381867, -7.67573040529e-06
-2403.86048, -1.48346679976e-05
-2402.63714133, 2.45629451543e-06
-2401.41380267, 1.56244542434e-05
-2400.190464, 6.19725615428e-06
-2398.96712533, 7.16434201644e-06
-2397.74378667, 1.32791202893e-05
-2396.520448, -7.62673726517e-07
-2395.29710933, 4.39256845261e-06
-2394.07377067, 7.79771783527e-06
-2392.850432, -5.5595677858e-06
-2391.62709333, -1.04191938148e-05
-2390.40375467, -7.32176041846e-06
-2389.180416, -1.77616838955e-06
-2387.95707733, 8.91897188221e-06
-2386.73373867, -1.42608318337e-06
-2385.5104, -2.05312518492e-06
-2384.28706133, 1.9798975128e-06
-2383.06372267, -1.29091006931e-05
-2381.840384, -3.29433594076e-05
-2380.61704533, -2.31916577621e-05
-2379.39370667, 3.45666009697e-06
-2378.170368, 1.74396937774e-05
-2376.94702933, 1.87449582146e-05
-2375.72369067, 2.39593105071e-05
-2374.500352, 2.83258760401e-05
-2373.27701333, 6.00197724134e-06
-2372.05367467, -8.47750422748e-06
-2370.830336, -3.86109737261e-06
-2369.60699733, 2.22493647769e-07
-2368.38365867, 2.69301443673e-06
-2367.16032, -5.87013221739e-06
-2365.93698133, 4.0357724725e-06
-2364.71364267, 1.52525445464e-05
-2363.490304, 1.27898772181e-05
-2362.26696533, -1.15568531575e-06
-2361.04362667, -1.24254511152e-05
-2359.820288, -5.62889590624e-06
-2358.59694933, -2.82608959198e-06
-2357.37361067, -2.4362065658e-05
-2356.150272, -3.28771172506e-05
-2354.92693333, -1.41059233249e-05
-2353.70359467, -2.81495046353e-07
-2352.480256, 4.03359581365e-06
-2351.25691733, 4.56128728273e-06
-2350.03357867, 7.41453725216e-06
-2348.81024, 1.26579766551e-05
-2347.58690133, 2.48978729213e-05
-2346.36356267, 2.57346103602e-05
-2345.140224, 1.32418352577e-05
