#Procedure: <__main__.MCT_calib>
#Parameters:
#	Zero pressure paro sci period: 2.49138e-05 s
#	AH2500A address: GPIB1::3::INSTR
#	AH2500 avg. exponent: 7
#	Comments/Notes: 
#	HP counter address: GPIB0::9::INSTR
#	counter gate time: 4 s
#Data:
UTC,timestamp,C,Loss,Vex,Period,P_paro
3827754549.414712,2082852338.8560002,31.93007,0.04153,0.25,2.601400292557e-05,27.406579012374984
3827754554.6086626,2082852344.0499508,31.93022,0.04188,0.25,2.601400694295e-05,27.406672808137667
3827754559.7676163,2082852349.2089045,31.93061,0.04139,0.25,2.601400926105e-05,27.406726929948046
3827754564.9461293,2082852354.3874176,31.93073,0.04091,0.25,2.601401125589e-05,27.40677350443807
3827754570.1330814,2082852359.5743697,31.93062,0.04078,0.25,2.6014009258e-05,27.40672685873823
3827754575.304039,2082852364.7453272,31.93037,0.0409,0.25,2.601400542709e-05,27.406637416607783
3827754580.4759874,2082852369.9172757,31.93019,0.0413,0.25,2.601400277733e-05,27.40657555134137
3827754585.6619425,2082852375.1032307,31.93007,0.04179,0.25,2.601400070759e-05,27.406527228077664
3827754590.8458977,2082852380.287186,31.93001,0.04225,0.25,2.601399869093e-05,27.406480144088402
3827754596.0208864,2082852385.4621747,31.93004,0.04229,0.25,2.601399708235e-05,27.406442587743236
3827754601.226804,2082852390.668092,31.92996,0.04254,0.25,2.60139936916e-05,27.40636342213492
3827754606.401758,2082852395.8430464,31.9299,0.04208,0.25,2.601399101222e-05,27.406300865231106
3827754611.5707455,2082852401.0120337,31.9298,0.04164,0.25,2.601398739413e-05,27.406216391737317
3827754616.7426624,2082852406.1839507,31.92966,0.04118,0.25,2.601398461745e-05,27.406151563071663
3827754621.9126544,2082852411.3539426,31.92953,0.04091,0.25,2.601398368687e-05,27.406129836307045
3827754627.1225996,2082852416.5638878,31.92948,0.04079,0.25,2.60139829621e-05,27.406112914700532
3827754632.338525,2082852421.779813,31.9293,0.04085,0.25,2.601398035252e-05,27.40605198737933
3827754637.522476,2082852426.9637644,31.92922,0.04145,0.25,2.601397956888e-05,27.40603369129526
3827754642.7184267,2082852432.159715,31.92927,0.04193,0.25,2.601398104597e-05,27.406068177745468
3827754647.911382,2082852437.3526704,31.9295,0.04224,0.25,2.601398446904e-05,27.406148098061617
3827754653.180334,2082852442.6216223,31.92971,0.04258,0.25,2.601398861136e-05,27.406244811064962
