#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 23000
#	start frequency (Hz): 22500
#	Frequency Step (Hz): 1
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,Y_1,X_2,Y_2
1717532323.6791744,839.3057472705841,22772.0,3.79088e-05,0.000202895,3.58826e-13,1.2026e-11
1717532326.742942,842.3695149421692,22773.0,3.61206e-05,0.000209571,6.43045e-13,1.43708e-11
1717532329.805702,845.4322748184204,22774.0,3.3498e-05,0.00021577,3.23299e-13,1.49073e-11
1717532332.8680623,848.494635105133,22775.0,3.24252e-05,0.000221969,9.87661e-13,1.63781e-11
1717532335.9306707,851.5572435855865,22776.0,3.12331e-05,0.000226618,1.77637e-13,1.52768e-11
1717532338.9945529,854.6211256980896,22777.0,2.98024e-05,0.000232101,-1.75505e-12,1.47936e-11
1717532342.0574555,857.6840283870697,22778.0,2.88488e-05,0.000236751,9.98319e-13,1.58843e-11
1717532345.1173136,860.7438864707947,22779.0,2.77759e-05,0.000241281,9.94764e-14,1.47083e-11
1717532348.1809342,863.8075070381165,22780.0,2.71798e-05,0.000245215,8.45549e-13,1.59305e-11
1717532351.2483072,866.8748800754547,22781.0,2.56301e-05,0.000249149,7.38968e-13,1.74013e-11
1717532354.312809,869.9393818378448,22782.0,2.50341e-05,0.000252964,-2.5935e-13,1.79413e-11
1717532357.3779871,873.0045599937439,22783.0,2.47956e-05,0.00025654,7.10546e-13,1.75114e-11
1717532360.4377902,876.0643630027771,22784.0,2.37228e-05,0.000259759,-4.90278e-13,1.66233e-11
1717532363.503964,879.1305367946625,22785.0,2.2173e-05,0.00026262,-5.75543e-13,1.65593e-11
1717532366.5653074,882.1918802261353,22786.0,2.27691e-05,0.0002656,8.45549e-13,1.68187e-11
1717532369.626538,885.2531108856201,22787.0,2.20538e-05,0.000268342,-9.62792e-13,1.72592e-11
1717532372.6897857,888.3163585662842,22788.0,2.14578e-05,0.000272037,2.20269e-13,1.67725e-11
1717532375.751162,891.3777348995209,22789.0,2.12194e-05,0.000273349,-1.18661e-12,1.71881e-11
1717532378.816295,894.4428677558899,22790.0,2.06233e-05,0.000276806,1.1724e-13,1.78845e-11
1717532381.8798392,897.5064120292664,22791.0,2.06233e-05,0.000279071,-4.61855e-14,1.87087e-11
1717532384.9439082,900.5704810619354,22792.0,2.01465e-05,0.000280978,5.36463e-13,1.81296e-11
1717532388.0067832,903.6333560943604,22793.0,1.96696e-05,0.000283601,-3.90801e-14,1.89929e-11
1717532391.0689201,906.6954929828644,22794.0,1.8716e-05,0.000285508,3.05535e-13,1.93908e-11
1717532394.129225,909.7557978630066,22795.0,1.9312e-05,0.000287773,-3.30404e-13,1.90213e-11
1717532397.1900456,912.8166184425354,22796.0,1.8716e-05,0.000288846,-3.12641e-13,1.93979e-11
1717532400.2527027,915.879275560379,22797.0,1.81199e-05,0.000291349,1.70531e-13,1.87727e-11
1717532403.3134086,918.9399814605713,22798.0,1.82391e-05,0.000293018,-2.94877e-13,1.78703e-11
1717532406.374152,922.0007247924805,22799.0,1.8716e-05,0.000295045,3.16193e-13,1.87549e-11
1717532409.4347754,925.0613481998444,22800.0,1.78815e-05,0.000295879,-3.80142e-13,1.99522e-11
