#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 22800
#	start frequency (Hz): 22700
#	Frequency Step (Hz): 0.1
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,Y_1,X_2,Y_2
1717534109.701638,1087.2188246250153,22735.3,0.000112296,0.000664596,2.94521e-12,4.08706e-11
1717534112.7633276,1090.280514240265,22735.4,0.000113726,0.000666622,1.76215e-12,4.13041e-11
1717534115.8340375,1093.3512241840363,22735.5,0.00011468,0.000668649,2.04638e-12,4.22775e-11
1717534118.8973598,1096.4145464897156,22735.6,0.000116587,0.000670318,2.75692e-12,4.32687e-11
1717534121.9630318,1099.480218410492,22735.7,0.000117898,0.000672463,1.46017e-12,4.22242e-11
1717534125.027894,1102.5450806617737,22735.8,0.000118494,0.00067449,1.91137e-12,4.22775e-11
1717534128.0915153,1105.6087019443512,22735.9,0.000120163,0.000676993,4.20644e-12,4.19684e-11
1717534131.1547344,1108.6719210147858,22736.0,0.000121832,0.000678543,4.16381e-12,4.16842e-11
1717534134.2208831,1111.7380697727203,22736.1,0.000123025,0.000680689,3.48523e-12,4.34357e-11
1717534137.2835743,1114.8007609844208,22736.2,0.000124813,0.000682,2.40165e-12,4.27749e-11
1717534140.345056,1117.8622426986694,22736.3,0.00012672,0.000683907,2.88126e-12,4.2377e-11
1717534143.412588,1120.9297745227814,22736.4,0.000127555,0.00068653,4.00394e-12,4.24836e-11
1717534146.4776971,1123.994883775711,22736.5,0.000129701,0.000688914,3.53852e-12,4.31195e-11
1717534149.5425866,1127.0597732067108,22736.6,0.000131012,0.000690106,3.45325e-12,4.46152e-11
1717534152.6058173,1130.1230039596558,22736.7,0.000131608,0.000692729,3.34667e-12,4.29525e-11
1717534155.6694238,1133.1866104602814,22736.8,0.00013435,0.000694517,4.81751e-12,4.22669e-11
1717534158.7327259,1136.2499125003815,22736.9,0.000136019,0.000696067,4.1567e-12,4.38833e-11
1717534161.7945728,1139.3117594718933,22737.0,0.000137807,0.000698213,4.49066e-12,4.31977e-11
1717534164.859716,1142.3769025802612,22737.1,0.000139714,0.000700716,3.56694e-12,4.36879e-11
1717534167.9234219,1145.4406085014343,22737.2,0.000141741,0.000703219,3.44615e-12,4.43523e-11
