#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 23100
#	start frequency (Hz): 22900
#	Frequency Step (Hz): 1
#	Buffer/sample size per measurement: 100
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,sigma_x1,Y_1,sigma_y2,X_2,sigma_x2,Y_2,sigma_y2
1717644892.7810717,6335.426089763641,22957.0,4.719002078277896e-05,3.451730132947635e-07,0.0005532190053149907,6.588011047842111e-13,1.652651349104417e-12,6.501695847949292e-13,2.7355184784028098e-12,6.588011047842111e-13
1717645004.090072,6446.735090017319,22958.0,4.948148823747731e-05,3.6563670465628514e-07,0.0005600946118133237,7.331928328602186e-13,1.7763568394002505e-12,6.172240627126177e-13,3.4989255937034614e-12,7.331928328602186e-13
1717645115.4290721,6558.074090242386,22959.0,5.207639752012311e-05,3.7328549802865433e-07,0.0005674338099932429,6.028436984837737e-13,1.8557244629846538e-12,5.788189938874101e-13,4.253095653439232e-12,6.028436984837737e-13
1717645226.7550435,6669.400061607361,22960.0,5.4883234428636953e-05,3.4090824524284206e-07,0.000575605064931542,6.763640253074548e-13,2.142002131222398e-12,6.874069818924583e-13,4.885905013907177e-12,6.763640253074548e-13
1717645338.0660443,6780.711062431335,22961.0,5.8190991180111664e-05,3.4971756721885775e-07,0.0005843338340219825,6.30256369183942e-13,2.4144242161128205e-12,6.688981535540819e-13,5.7816151866063596e-12,6.30256369183942e-13
1717645449.3870718,6892.032089948654,22962.0,6.205144554677636e-05,3.286999758299355e-07,0.0005939873782071201,7.007968852529734e-13,2.5502089329165758e-12,5.648122888553032e-13,6.73736622047727e-12,7.007968852529734e-13
1717645560.715067,7003.360085010529,22963.0,6.633816343365294e-05,3.465648117993516e-07,0.0006046367414069898,6.665480896361253e-13,2.887929895223351e-12,7.442855080694518e-13,7.854268346818572e-12,6.665480896361253e-13
1717645672.0510757,7114.696093797684,22964.0,7.139913963549066e-05,3.072454159904959e-07,0.0006161566936608517,6.822370125702965e-13,3.107416546299646e-12,6.767583338098403e-13,8.76696049090242e-12,6.822370125702965e-13
1717645783.3720732,7226.0170912742615,22965.0,7.73511751733645e-05,2.863663123140065e-07,0.0006293455759684244,6.791962163207616e-13,3.7425706977956e-12,7.129198450207082e-13,1.0195861932515982e-11,6.791962163207616e-13
1717645894.6940386,7337.33905673027,22966.0,8.429662145749487e-05,3.5968761522418743e-07,0.0006438939258305714,6.488643077760649e-13,4.284572696633404e-12,6.822934591782712e-13,1.1608349836933485e-11,6.488643077760649e-13
1717646005.9870415,7448.632059574127,22967.0,9.274241900203205e-05,3.214745260498305e-07,0.0006600606321084379,7.16781072627022e-13,4.660307695303345e-12,6.504437828944852e-13,1.3126140174790634e-11,7.16781072627022e-13
1717646117.294077,7559.939095020294,22968.0,0.0001027981440226237,3.371747880871523e-07,0.0006784116378938309,6.857499442434999e-13,5.4508575431100325e-12,6.746849435883075e-13,1.4838974493613933e-11,6.857499442434999e-13
1717646228.626068,7671.271086215973,22969.0,0.00011525491271356139,3.5744334930712946e-07,0.0006989927002877901,6.848853390339903e-13,6.446896350098541e-12,6.169752514218012e-13,1.6961010373961473e-11,6.848853390339903e-13
1717646339.942039,7782.5870571136475,22970.0,0.00013060160357542712,3.7893321981406393e-07,0.0007224925840743864,6.073631858349506e-13,7.618439212819795e-12,6.253123262068646e-13,1.9340973267389927e-11,6.073631858349506e-13
1717646451.2620718,7893.907089948654,22971.0,0.00014999934605189731,3.580331128261539e-07,0.0007497960207413654,6.785327758725506e-13,9.021093636406338e-12,6.602274747484066e-13,2.1958784958714563e-11,6.785327758725506e-13
1717646562.0723884,8004.717406511307,22972.0,0.00017501991622301998,5.301266837590438e-07,0.0007808597720399195,6.563871039096674e-13,1.1038933939280284e-11,7.846210746903817e-13,2.5186057321346253e-11,6.563871039096674e-13
1717646672.3054516,8114.950469732285,22973.0,0.00020833404696717555,4.817949878082786e-07,0.0008173791729674047,6.534131772854856e-13,1.3707239425141835e-11,7.149945257167846e-13,2.887645678129047e-11,6.534131772854856e-13
